,名称,面积,租价,房型,位置
0,地铁4号线白石桥站 气象局 南北2居出租,59平米,9200元/月,共4层 2室1厅,中国气象局社区(南区)  海淀-白石桥中关村南大街46号
1,口腔医院 大慧寺7号院朝南五层次卧出租 看房方便,15平米,3600元/月,共5层 3室1厅,大慧寺7号院  海淀-魏公村大慧寺路7号
2,民大附中家属区 3室1厅1卫 13000元月 92平,92平米,13000元/月,高层(共9层) 3室1厅,民大附中家属区  海淀-魏公村民族大学西路
3,舞蹈学院 民族大学 魏公村 精装朝南 正规一居室出租,40平米,5800元/月,共5层 1室1厅,魏公村南区  海淀-魏公村魏公村路
4,交大西门魏公村农科院大柳树钢研社区大慧寺次卧室出租,15平米,3500元/月,共5层 4室1厅,大慧寺19号院  海淀-皂君庙大慧寺路19号
5,交大西门魏公村农科院大柳树钢研社区大慧寺主卧室出租,25平米,4200元/月,共5层 4室1厅,大慧寺19号院  海淀-皂君庙大慧寺路19号
6,魏公村 北理工 民族大学 天作国际 口腔医院 魏公村佳苑主卧,18平米,2800元/月,中层(共21层) 3室1厅,魏公村佳苑  海淀-魏公村魏公村斜街7号
7,魏公村佳苑 3室1厅1卫 3100元月 电梯房 南北通透,16平米,3100元/月,低层(共28层) 3室1厅,魏公村佳苑  海淀-魏公村魏公村斜街7号
8,北京国际 口腔医院 韦伯豪 魏公村佳苑精装二居出租,63平米,9800元/月,中层(共16层) 2室1厅,魏公村佳苑  海淀-魏公村魏公村斜街7号
9,北京国际 口腔医院 魏公村佳苑精装带电梯三居出租,86平米,13800元/月,高层(共17层) 3室1厅,魏公村佳苑  海淀-魏公村魏公村斜街7号
10,魏公村法华寺小区带电精装大两居室 东南向看房方便 价格亲民,78平米,8500元/月,中层(共18层) 2室1厅,法华寺小区  海淀-魏公村法华寺路1号
11,中央民族大学社区2室1厅1卫,65平米,9200元/月,共5层 2室1厅,中央民族大学社区  海淀-魏公村法华寺路
12,魏公村 私摩空间 精装1居室 6层朝南带电梯 装修好 随时看,43平米,6500元/月,中层(共15层) 1室1厅,私摩空间  海淀-魏公村法华寺街27号
13,西直门 长河湾 交通大学西门 皂君庙 铁科院 富海大厦大次卧,18平米,3200元/月,中层(共20层) 4室1厅,富海中心  海淀-白石桥大柳树路17号
14,富海中心 出租精装 两室一厅两卫  有钥匙 随时看房,124平米,13000元/月,中层(共20层) 2室1厅,富海中心  海淀-白石桥大柳树路17号
15,皂君庙 魏公村 农科院精装二居出租,60平米,9200元/月,共5层 2室1厅,农科院小区  海淀-皂君庙中关村南大街12号
16,万寿寺北里 2居室主卧 4200元月,17平米,4200元/月,高层(共6层) 2室1厅,万寿寺北里  海淀-魏公村紫竹院路
17,紫竹桥 昌运宫 酱油厂宿舍简单装修三居室 主卧出租 看房随时,18平米,3000元/月,中层(共6层) 3室1厅,酱油厂宿舍  海淀-万寿寺西三环北路
18,魏公村 天作国际精装公寓一居 邻农科院 理工 中航广场,50平米,6300元/月,中层(共9层) 1室1厅,天作国际中心  海淀-皂君庙中关村南大街乙12号
19,天作国际 北理工 海淀医院 魏公村人民大学地铁口 双安商场,61平米,6500元/月,低层(共18层) 1室1厅,天作国际中心  海淀-皂君庙中关村南大街乙12号
20,押一付三紫竹桥白石桥花园桥紫竹院南路20号院精装修两居室出租,62平米,8500元/月,低层(共6层) 2室1厅,紫竹院南路20号院  海淀-白石桥紫竹院南路20号
21,西直门 展览馆 首体南路 白石桥地铁 腾达大厦 西苑饭店附近,15平米,3200元/月,中层(共6层) 3室1厅,三里河路5号院  海淀-白石桥新苑街
22,亮点！魏公村，国家图书馆，理工国防科技园，苏州桥，北外外研社,25平米,2700元/月,低层(共6层) 3室1厅,厂洼街2号院  海淀-厂洼厂洼街2号
23,厂洼温馨主次卧 北理工 北外 魏公村 苏州桥 世纪城 紫竹桥,17平米,2500元/月,中层(共6层) 3室1厅,厂洼街2号院  海淀-厂洼厂洼街2号
24,厂洼街2号院 3室1厅1卫 4400元月 配套齐全,22平米,4400元/月,高层(共6层) 3室1厅,厂洼街2号院  海淀-厂洼厂洼街2号
25,出租苏州桥 地铁16 号线外国语大学 理工大学精装温馨次卧,23平米,2800元/月,中层(共6层) 3室1厅,厂洼街1号院  海淀-厂洼厂洼街1号
26,厂洼小区 厂洼街一号院 西三环北路25号院 精装修两居出租,65平米,7300元/月,低层(共6层) 2室1厅,厂洼街1号院  海淀-厂洼厂洼街1号
27,厂洼厂洼街1号院1室1厅精装修 看房可约,36.4平米,5000元/月,低层(共6层) 1室1厅,厂洼街1号院  海淀-厂洼厂洼街1号
28,西直门交通大学四道口交大嘉园富海大厦鑫雅苑铁科院三居室出租,123.5平米,16500元/月,中层(共14层) 3室2厅,铁科院家属区(大柳树路2号院北区)  海淀-皂君庙大柳树路2号
29,西直门交通大学四道口皂君东路铁科院宿舍3室1厅,80平米,12500元/月,低层(共17层) 3室1厅,铁科院家属区(大柳树路2号院南区)  海淀-皂君庙大柳树路2号
30,蓟门桥 当代商城 苏州桥 紫竹院,72平米,7600元/月,中层(共6层) 2室1厅,铁科院家属区(大柳树路2号院南区)  海淀-皂君庙大柳树路2号
31,西直门交通大学四道口皂君东里交大嘉园铁科院南北通透三居室出租,80.1平米,10800元/月,高层(共6层) 3室1厅,铁科院家属区(大柳树路2号院南区)  海淀-皂君庙大柳树路2号
32,花园桥 花园村精装3居主卧 临69号线白石桥南可长租,15平米,3200元/月,中层(共6层) 3室1厅,花园村社区  海淀-花园桥车公庄西路26号
33,西直门  交通大学  北京北站  交大东路31号院精装两居,55平米,8200元/月,低层(共6层) 2室1厅,交大东路31号院  海淀-交通大学交大东路31号
34,西直门 长河湾 交通大学 交大东路 交大南门 精装次卧室出租,13平米,3000元/月,高层(共6层) 3室1厅,交大东路31号院  海淀-交通大学交大东路31号
35,69白石桥 车公庄西路14号院水科院建设部大院一居室,59.7平米,6400元/月,中层(共6层) 1室1厅,车公庄西路14号院  海淀-甘家口车公庄西路14号
36,三义庙一居室出租 人民大学 小南庄 双榆树 北理工 中关村,32平米,5900元/月,低层(共6层) 1室1厅,三义庙社区(北区)  海淀-苏州桥北三环西路
37,实图实价 三义庙主卧 紧邻苏州桥地铁 人大 理工 中元国际,30平米,3333元/月,中层(共6层) 3室1厅,三义庙社区(北区)  海淀-苏州桥北三环西路
38,国家行政学院 北京外国语 苏州街16号线 现租的是温馨次卧,18平米,2700元/月,高层(共6层) 3室1厅,厂洼小区(南区)  海淀-厂洼厂洼中路
39,魏公村 外国语大学 理工大学 厂洼小区 精装 主卧出租,12平米,3000元/月,中层(共6层) 2室1厅,厂洼小区(南区)  海淀-厂洼厂洼中路
40,图书馆魏公村中央民族家属楼精装合租带车位地铁16号线4号线,18平米,3000元/月,中层(共15层) 3室1厅,中央民族大学社区  海淀-魏公村法华寺路
41,魏公村 民族大学 舞蹈学院 理工大学 民大家属院主卧室随时看,19平米,3200元/月,低层(共6层) 2室1厅,中央民族大学社区  海淀-魏公村法华寺路
42,民族大学家属院 魏公村 字节 头条房补 中关村 理工 农科院,16平米,2600元/月,共5层 3室1厅,中央民族大学社区  海淀-魏公村法华寺路
43,民大附中家长陪读 民族大学 舞蹈学院民大家属院一居室随时看房,47平米,5000元/月,共5层 1室1厅,中央民族大学社区  海淀-魏公村法华寺路
44,民族大学家属院 3室1厅1卫 带电梯 105平,105平米,14500元/月,中层(共6层) 3室2厅,中央民族大学社区  海淀-魏公村法华寺路
45,民族大学 魏公村 舞蹈学院地铁附近,15平米,3500元/月,共5层 4室1厅,中央民族大学社区  海淀-魏公村法华寺路
46,魏公村4号线 北京国际大厦 民族大学家属院次卧 舞蹈学院北侧,17平米,3000元/月,共5层 3室1厅,中央民族大学社区  海淀-魏公村法华寺路
47,魏公村中央民族社区正规一居室地铁4号线16号线精装有车位,47平米,6300元/月,中层(共15层) 1室1厅,中央民族大学社区  海淀-魏公村法华寺路
48,魏公村 民族大学 舞蹈学院 民大家属院大主卧,18平米,4000元/月,共5层 4室1厅,中央民族大学社区  海淀-魏公村法华寺路
49,民族大学舞蹈学院 民大家属院双南两居室,68平米,7500元/月,共5层 2室1厅,中央民族大学社区  海淀-魏公村法华寺路
50,民族大学 舞蹈学院 外国语大学 理工,12平米,2800元/月,共5层 3室1厅,中央民族大学社区  海淀-魏公村法华寺路
51,魏公村 民族大学家属院 精装一居室 长租 有电梯 采光好,50平米,5200元/月,高层(共14层) 1室1厅,中央民族大学社区  海淀-魏公村法华寺路
52,魏公村民族大学家属院南北三居室家具齐可长租随时入住,70平米,11500元/月,共5层 3室1厅,中央民族大学社区  海淀-魏公村法华寺路
53,地铁4号线魏公村北京外国语理工大学民族大学家属院一居电梯出租,50平米,5999元/月,高层(共14层) 1室1厅,中央民族大学社区  海淀-魏公村法华寺路
54,魏公村 民族大学西门 韦伯豪 理工 万寿寺 舞蹈学院 中关村,20平米,3200元/月,共5层 3室1厅,中央民族大学社区  海淀-魏公村法华寺路
55,魏公村 民族大学 理工大学 舞蹈学院 魏公村佳苑 主卧室朝南,25平米,3200元/月,中层(共6层) 3室1厅,中央民族大学社区  海淀-魏公村法华寺路
56,中关村南大街魏公村中央民族社区精装合租单间地铁16号线4号线,20平米,2800元/月,高层(共15层) 3室1厅,中央民族大学社区  海淀-魏公村法华寺路
57,民大旁 民族大学家属院 韦伯豪家园 魏公村南区 精装两居,54平米,8300元/月,共5层 2室1厅,中央民族大学社区  海淀-魏公村法华寺路
58,南向电梯房一室一厅 民族大学附中 北舞 北外附中附小社会学院,45平米,5500元/月,高层(共14层) 1室1厅,中央民族大学社区  海淀-魏公村法华寺路
59,民族大学家属院 3室1厅70平米 精装修 押一付三,70平米,11000元/月,低层(共6层) 3室1厅,中央民族大学社区  海淀-魏公村法华寺路
60,魏公村 理工 民族大学 北外 北舞 大主卧,16平米,4000元/月,共5层 4室1厅,中央民族大学社区  海淀-魏公村法华寺路
61,地铁4号线魏公村北外民族大学北外附小民大家属院电梯一居出租！,50平米,6250元/月,高层(共15层) 1室1厅,中央民族大学社区  海淀-魏公村法华寺路
62,魏公村 民族大学家属院,48平米,6200元/月,共5层 1室1厅,中央民族大学社区  海淀-魏公村法华寺路
63,魏公村民族大学 舞蹈学院理工大学民族大学家属院正规次卧室,18平米,2600元/月,低层(共6层) 3室1厅,中央民族大学社区  海淀-魏公村法华寺路
64,魏公村民族大学家属楼2室1厅东北向精装修，随时入住,66平米,7800元/月,低层(共7层) 2室1厅,中央民族大学社区  海淀-魏公村法华寺路
65,魏公村 民族大学 理工大学 天作国际精装主卧次卧,20平米,3300元/月,中层(共6层) 3室1厅,中央民族大学社区  海淀-魏公村法华寺路
66,魏公村 民族大学家属院 便宜一居随时能看可长租邻民大,40平米,5800元/月,共5层 1室1厅,中央民族大学社区  海淀-魏公村法华寺路
67,民大旁 民族大学家属院 韦伯豪家园 魏公村南区 精装两居,54平米,8300元/月,低层(共6层) 2室1厅,中央民族大学社区  海淀-魏公村法华寺路
68,魏公村4号线 国家图书馆 舞蹈学院 民族大学家属院大两居,74平米,9000元/月,高层(共10层) 2室1厅,中央民族大学社区  海淀-魏公村法华寺路
69,图书馆魏公村中央民族家属楼精装合租带车位地铁16号线4号线,18平米,2800元/月,中层(共6层) 3室1厅,中央民族大学社区  海淀-魏公村法华寺路
70,魏公村 民族大学 理工大学 天作国际精装主卧次卧,20平米,3200元/月,中层(共6层) 3室1厅,中央民族大学社区  海淀-魏公村法华寺路
71,单间出租 民族大学西门 北理工国防科园 万寿寺 法华寺 舞蹈,18平米,2500元/月,高层(共14层) 3室1厅,中央民族大学社区  海淀-魏公村法华寺路
72,理工大学 魏公村 万寿寺 民族大学 厂洼 北外校内精装主卧,30平米,3400元/月,共5层 3室1厅,中央民族大学社区  海淀-魏公村法华寺路
73,魏公村 民族大学家属院 精装一居室朝南 看房联系有钥匙,43平米,6500元/月,共5层 1室1厅,中央民族大学社区  海淀-魏公村法华寺路
74,魏公村 民族大学 外国语大学 舞蹈学院,15平米,3000元/月,共5层 3室1厅,中央民族大学社区  海淀-魏公村法华寺路
75,魏公村中央民族社区正规一居室地铁4号线16号线精装有车位,45.5平米,6500元/月,高层(共14层) 1室1厅,中央民族大学社区  海淀-魏公村法华寺路
76,新上1室1厅1卫 民族大学社区 带电梯6300月,55平米,6300元/月,中层(共18层) 1室1厅,中央民族大学社区  海淀-魏公村法华寺路
77,魏公村 民族大学 舞蹈学院 理工 北外,16平米,3300元/月,共5层 3室1厅,中央民族大学社区  海淀-魏公村法华寺路
78,南向一居电梯房 魏公村 民族大学 万寿寺 北京外国语舞蹈学院,45平米,5500元/月,高层(共14层) 1室1厅,中央民族大学社区  海淀-魏公村法华寺路
79,舞蹈学院 民族大学 魏公村 民族大学家属院内南北两居室,65平米,6300元/月,低层(共6层) 2室1厅,中央民族大学社区  海淀-魏公村法华寺路
80,新上1室1厅1卫 民族大学社区 带电梯6500月,55平米,6500元/月,中层(共18层) 1室1厅,中央民族大学社区  海淀-魏公村法华寺路
81,民族大学家属院 精装两居 近万寿寺甲2号 韦伯豪家园舞蹈学院,58平米,7500元/月,中层(共6层) 2室1厅,中央民族大学社区  海淀-魏公村法华寺路
82,中关村南大街魏公村中央民族社区精装合租单间地铁16号线4号线,20平米,2900元/月,高层(共15层) 3室1厅,中央民族大学社区  海淀-魏公村法华寺路
83,民族大学家属院精装修半地下两居室,55平米,7000元/月,低层(共7层) 2室1厅,中央民族大学社区  海淀-魏公村法华寺路
84,舞蹈学院 北外 魏公村 民族大学 精装正规一居室出租,40平米,5950元/月,高层(共6层) 1室1厅,中央民族大学社区  海淀-魏公村法华寺路
85,民族大学家属院 鑫德嘉园 精装三居 近民大附 理工大学,77.2平米,12500元/月,中层(共16层) 3室1厅,中央民族大学社区  海淀-魏公村法华寺路
86,民族大学舞蹈学院 民大家属院双南两居室,68平米,7500元/月,共5层 2室1厅,中央民族大学社区  海淀-魏公村法华寺路
